quarter,epsActual,epsEstimate,epsDifference,surprisePercent,ticker,fetch_date
2024-12-31,2.4,2.34102,0.06,0.0252,AAPL,2025-12-31 16:56:16.479846
2025-03-31,1.65,1.62253,0.03,0.016900001,AAPL,2025-12-31 16:56:16.479846
2025-06-30,1.57,1.42572,0.14,0.1012,AAPL,2025-12-31 16:56:16.479846
2025-09-30,1.85,1.76993,0.08,0.0452,AAPL,2025-12-31 16:56:16.479846
2024-12-31,3.23,3.10403,0.13,0.040599998,MSFT,2025-12-31 16:56:22.491236
2025-03-31,3.46,3.21597,0.24,0.0759,MSFT,2025-12-31 16:56:22.491236
2025-06-30,3.65,3.37942,0.27,0.0801,MSFT,2025-12-31 16:56:22.491236
2025-09-30,3.72,3.66189,0.06,0.0159,MSFT,2025-12-31 16:56:22.491236
2024-12-31,2.15,2.12503,0.02,0.0117999995,GOOGL,2025-12-31 16:56:26.378888
2025-03-31,2.81,2.00576,0.8,0.401,GOOGL,2025-12-31 16:56:26.378888
2025-06-30,2.31,2.18615,0.12,0.056700002,GOOGL,2025-12-31 16:56:26.378888
2025-09-30,2.87,2.26199,0.61,0.2688,GOOGL,2025-12-31 16:56:26.378888
2024-12-31,1.86,1.48369,0.38,0.2536,AMZN,2025-12-31 16:56:30.161654
2025-03-31,1.59,1.358,0.23,0.1708,AMZN,2025-12-31 16:56:30.161654
2025-06-30,1.68,1.33192,0.35,0.2613,AMZN,2025-12-31 16:56:30.161654
2025-09-30,1.95,1.55757,0.39,0.252,AMZN,2025-12-31 16:56:30.161654
2025-01-31,0.89,0.84562,0.04,0.0525,NVDA,2025-12-31 16:56:33.966310
2025-04-30,0.81,0.74988,0.06,0.0802,NVDA,2025-12-31 16:56:33.966310
2025-07-31,1.05,1.00867,0.04,0.040999997,NVDA,2025-12-31 16:56:33.966310
2025-10-31,1.3,1.25647,0.04,0.0346,NVDA,2025-12-31 16:56:33.966310
2024-12-31,8.02,6.75838,1.26,0.1867,META,2025-12-31 16:56:38.046819
2025-03-31,6.43,5.22294,1.21,0.23110001,META,2025-12-31 16:56:38.046819
