period,avg,low,high,yearAgoEps,numberOfAnalysts,growth,ticker,fetch_date
0q,2.66721,2.51,2.8,2.4,30,0.1113,AAPL,2025-12-31 16:56:16.479846
+1q,1.84254,1.7,2.15,1.65,28,0.1167,AAPL,2025-12-31 16:56:16.479846
0y,8.26741,7.76,9.0,7.46,40,0.1082,AAPL,2025-12-31 16:56:16.479846
+1y,9.13804,8.3,10.1,8.26741,37,0.105299994,AAPL,2025-12-31 16:56:16.479846
0q,3.86083,3.41,4.11521,3.23,33,0.19530001,MSFT,2025-12-31 16:56:22.491236
+1q,3.91717,3.48,4.18,3.46,33,0.1321,MSFT,2025-12-31 16:56:22.491236
0y,15.74872,14.36,17.4,13.64,42,0.1546,MSFT,2025-12-31 16:56:22.491236
+1y,18.63513,16.37,20.4,15.74872,43,0.1833,MSFT,2025-12-31 16:56:22.491236
0q,2.62866,2.46,3.01,2.15,45,0.2226,GOOGL,2025-12-31 16:56:26.378888
+1q,2.52155,2.36,2.69,2.81,32,-0.1027,GOOGL,2025-12-31 16:56:26.378888
0y,10.56259,9.5,11.04,8.04,61,0.31379998,GOOGL,2025-12-31 16:56:26.378888
+1y,11.20453,10.3,13.11,10.56259,60,0.0608,GOOGL,2025-12-31 16:56:26.378888
0q,1.93901,1.61,2.23,1.86,43,0.0425,AMZN,2025-12-31 16:56:30.161654
+1q,1.71584,1.3,1.93,1.59,29,0.0791,AMZN,2025-12-31 16:56:30.161654
0y,7.0557,5.7,7.63,5.53,62,0.2759,AMZN,2025-12-31 16:56:30.161654
+1y,7.85839,6.72,8.92,7.0557,60,0.113800004,AMZN,2025-12-31 16:56:30.161654
0q,1.52158,1.49,1.59,0.89,39,0.7096,NVDA,2025-12-31 16:56:33.966310
+1q,1.64721,1.42,1.98,0.81,39,1.0336,NVDA,2025-12-31 16:56:33.966310
0y,4.69153,4.62,4.96,2.99,45,0.5691,NVDA,2025-12-31 16:56:33.966310
+1y,7.56636,4.91,9.68,4.69153,55,0.6128,NVDA,2025-12-31 16:56:33.966310
0q,8.17046,7.23,8.83,8.02,40,0.0188,META,2025-12-31 16:56:38.046819
+1q,6.32245,5.24,7.25,6.43,29,-0.0167,META,2025-12-31 16:56:38.046819
0y,23.16044,21.85,28.38,23.86,55,-0.0293,META,2025-12-31 16:56:38.046819
+1y,29.61541,23.45,34.38,23.16044,55,0.2787,META,2025-12-31 16:56:38.046819
0q,0.44578,0.14,0.65,0.73,25,-0.3893,TSLA,2025-12-31 16:56:41.763550
+1q,0.43825,0.27725,0.57,0.27,13,0.62310004,TSLA,2025-12-31 16:56:41.763550
0y,1.63796,1.15349,2.03,2.42,34,-0.3232,TSLA,2025-12-31 16:56:41.763550
+1y,2.21713,1.33,3.5,1.63796,33,0.3536,TSLA,2025-12-31 16:56:41.763550
0q,5.39473,5.39473,5.39473,6.7347,1,-0.199,BRK-B,2025-12-31 16:56:45.527676
+1q,5.5097,5.5097,5.5097,4.4689,1,0.23290001,BRK-B,2025-12-31 16:56:45.527676
0y,21.27917,20.91,21.64,21.9964,3,-0.0326,BRK-B,2025-12-31 16:56:45.527676
+1y,24.19081,19.94,31.59,21.27917,4,0.1368,BRK-B,2025-12-31 16:56:45.527676
0q,2.10981,2.01,2.32,6.81,23,-0.6902,UNH,2025-12-31 16:56:48.642291
+1q,6.60865,5.03,8.05,7.2,18,-0.082100004,UNH,2025-12-31 16:56:48.642291
0y,16.3272,16.21,16.50062,27.66,27,-0.4097,UNH,2025-12-31 16:56:48.642291
+1y,17.76749,17.05,19.31,16.3272,27,0.088199995,UNH,2025-12-31 16:56:48.642291
0q,2.52256,2.37,2.58441,2.04,18,0.2365,JNJ,2025-12-31 16:56:52.517876
+1q,2.74412,2.63,2.87,2.77,14,-0.0093,JNJ,2025-12-31 16:56:52.517876
0y,10.85801,10.7,10.96,9.98,25,0.088,JNJ,2025-12-31 16:56:52.517876
+1y,11.52817,11.11,12.08,10.85801,26,0.0617,JNJ,2025-12-31 16:56:52.517876
0q,3.13846,3.08,3.18,2.75,28,0.14130001,V,2025-12-31 16:56:57.097209
+1q,3.06622,3.01,3.13082,2.76,27,0.1109,V,2025-12-31 16:56:57.097209
0y,12.79569,12.55014,12.98,11.47,39,0.115600005,V,2025-12-31 16:56:57.097209
+1y,14.42556,13.64765,14.94,12.79569,37,0.1274,V,2025-12-31 16:56:57.097209
0q,1.68722,1.49,1.81618,1.67,17,0.010299999,XOM,2025-12-31 16:57:00.873466
+1q,1.67222,1.42,2.01,1.76,17,-0.0499,XOM,2025-12-31 16:57:00.873466
0y,6.97897,6.62,7.45,7.79,24,-0.1041,XOM,2025-12-31 16:57:00.873466
+1y,7.18525,5.91,10.91,6.97897,26,0.0296,XOM,2025-12-31 16:57:00.873466
0q,0.72306,0.69,0.76202,0.66,33,0.0955,WMT,2025-12-31 16:57:04.821548
+1q,0.67538,0.62,0.73,0.61,21,0.107200004,WMT,2025-12-31 16:57:04.821548
0y,2.63788,2.59,2.83,2.51,37,0.0509,WMT,2025-12-31 16:57:04.821548
+1y,2.97842,2.84,3.33,2.63788,38,0.1291,WMT,2025-12-31 16:57:04.821548
0q,4.94848,4.68,5.11,4.81,11,0.028800001,JPM,2025-12-31 16:57:08.504124
+1q,5.25245,4.95,5.55,5.07,10,0.036,JPM,2025-12-31 16:57:08.504124
0y,20.12463,19.79553,20.92,19.75,12,0.019,JPM,2025-12-31 16:57:08.504124
+1y,21.18152,20.0,22.93,20.12463,14,0.0525,JPM,2025-12-31 16:57:08.504124
0q,1.87104,1.82,1.94,1.88,16,-0.0047999998,PG,2025-12-31 16:57:12.265411
+1q,1.59128,1.56089,1.62,1.54,16,0.033299997,PG,2025-12-31 16:57:12.265411
0y,7.00081,6.88793,7.2,6.83,21,0.025,PG,2025-12-31 16:57:12.265411
+1y,7.35039,6.95,7.52,7.00081,21,0.0499,PG,2025-12-31 16:57:12.265411
0q,4.24874,4.05,4.39,3.82,27,0.1122,MA,2025-12-31 16:57:15.903550
+1q,4.28512,4.14684,4.47,3.73,21,0.1488,MA,2025-12-31 16:57:15.903550
0y,16.46053,15.95,16.64,14.6,37,0.1274,MA,2025-12-31 16:57:15.903550
+1y,19.10937,18.62,19.66956,16.46053,38,0.1609,MA,2025-12-31 16:57:15.903550
0q,2.56076,2.41,2.95,3.02,33,-0.1521,HD,2025-12-31 16:57:19.493265
+1q,3.63923,3.5,3.88,3.56,25,0.0223,HD,2025-12-31 16:57:19.493265
0y,14.55059,14.09,15.1,14.91,37,-0.0241,HD,2025-12-31 16:57:19.493265
+1y,15.12937,14.35,16.48316,14.55059,36,0.0398,HD,2025-12-31 16:57:19.493265
0q,1.56568,1.1,1.85,2.06,16,-0.24,CVX,2025-12-31 16:57:22.979662
+1q,1.80576,1.33,2.42107,2.18,17,-0.1717,CVX,2025-12-31 16:57:22.979662
0y,7.34049,6.75,7.78965,10.05,23,-0.2696,CVX,2025-12-31 16:57:22.979662
+1y,7.55191,4.71,9.57,7.34049,26,0.028800001,CVX,2025-12-31 16:57:22.979662
0q,2.05425,1.98,2.2,1.72,16,0.1943,MRK,2025-12-31 16:57:26.778122
